# Title: Effects of Toxic Organic Compounds on Tenebrio molitor and Gregarina steini
# Abstract: Environmental pollution by toxic compounds affects various species of living organisms, their life cycles and symbiotic relationships. This study investigated the host-parasite relationship between Tenebrio molitor Linnaeus, 1758 (Coleoptera, Tenebrionidae) and Gregarina steini Berthold, 1827 (Eugregarinorida, Gregarinida) under exposure to o-xylene, formaldehyde and aniline at different concentrations. For laboratory studies, 480 larvae of T. molitor and five concentrations of the studied organic compounds were used. Groups of T. molitor, each consisting of ten individuals, were subjected to the tested compounds for 10 days following the initial weight measurement. We measured the body weight and survival rate of T. molitor and the number of G. steini in them to assess the impact of the tested organic compounds on the host-parasite relationship. For all the compounds studied, a decrease in body weight and high mortality were observed in T. molitor at high concentrations. The lethality of the studied organic compounds was concentration-dependent. o-Xylene showed low toxicity at lower concentrations (10.4 and 26.0 mg/kg of feed), with a survival rate of 93.3% and 86.7%, respectively. At a concentration of 10.4 mg/kg, no lethal cases in T. molitor were observed. At higher concentrations (78 and 104 mg/kg feed), T. molitor mortality significantly increased to 33.3% and 53.3%, respectively.
# Keywords: Tenebrio molitor, Gregarina steini, o-xylene, aniline, formaldehyde, host-parasite relationship, mortality, body mass change, ecotoxicology
# Columns: 
# - Compound: Name of the chemical compound used (e.g., aniline, formaldehyde, o-xylene)
# - mg/kg: Concentration of the compound in feed (mg/kg)
# - Start Weight (mg): Initial weight of T. molitor larvae (mg)
# - End Weight (mg): Final weight of T. molitor larvae after 10 days (mg)
# - Gregarina steini Count: Number of G. steini parasites found in the host
# - Change (mg): Net weight change of larvae (mg)
# - Change (%): Percent change in body weight compared to start weight
Compound,mg/kg,Start Weight (mg),End Weight (mg),Gregarina steini Count,Change (mg),Change (%)
Ortho-xylene,10.4,129,178,50,49,37.98
Ortho-xylene,10.4,168,179,6,11,6.55
Ortho-xylene,10.4,140,156,25,16,11.43
Ortho-xylene,10.4,123,151,21,28,22.76
Ortho-xylene,10.4,134,162,20,28,20.9
Ortho-xylene,10.4,134,167,27,33,24.63
Ortho-xylene,10.4,133,180,40,47,35.34
Ortho-xylene,10.4,159,173,25,14,8.81
Ortho-xylene,10.4,168,155,24,-13,-7.74
Ortho-xylene,10.4,175,165,7,-10,-5.71
Ortho-xylene,10.4,163,168,41,5,3.07
Ortho-xylene,10.4,171,151,5,-20,-11.7
Ortho-xylene,10.4,158,172,24,14,8.86
Ortho-xylene,10.4,178,170,42,-8,-4.49
Ortho-xylene,10.4,138,167,50,29,21.01
Ortho-xylene,10.4,130,163,9,33,25.38
Ortho-xylene,10.4,127,153,27,26,20.47
Ortho-xylene,10.4,160,155,36,-5,-3.13
Ortho-xylene,10.4,140,158,8,18,12.86
Ortho-xylene,10.4,166,179,47,13,7.83
Ortho-xylene,10.4,165,156,17,-9,-5.45
Ortho-xylene,10.4,161,161,5,0,0
Ortho-xylene,10.4,131,162,6,31,23.66
Ortho-xylene,10.4,135,157,44,22,16.3
Ortho-xylene,10.4,122,164,49,42,34.43
Ortho-xylene,10.4,162,164,37,2,1.23
Ortho-xylene,10.4,152,162,0,10,6.58
Ortho-xylene,10.4,174,177,36,3,1.72
Ortho-xylene,10.4,151,165,,14,9.27
Ortho-xylene,10.4,179,171,,-8,-4.47
Ortho-xylene,26,167,158,36,-9,-5.39
Ortho-xylene,26,123,157,5,34,27.64
Ortho-xylene,26,165,163,31,-2,-1.21
Ortho-xylene,26,128,170,10,42,32.81
